Frequency,Power
2300.485193,102
2293.301006,107
2286.125424,104
2277.526059,103
2270.369351,104
2264.650143,108
2256.081581,108
2248.95049,107
2243.251744,104
2233.292018,104
2230.449435,106
2220.511059,108
2213.422359,107
2207.757472,106
2200.68394,106
2192.206797,108
2187.972756,101
2179.513721,100
2171.066726,98
2166.847735,98
2159.82275,100
2150.001744,103
2145.797723,102
2138.797652,100
2130.408489,98
2124.822321,100
2117.847032,103
2110.879974,103
2103.921133,102
2096.970494,100
2090.028044,101
2081.70789,104
2074.783402,104
2069.249674,102
2060.958835,100
2055.438102,100
2047.166721,103
2040.282798,104
2033.406945,102
2027.912064,98
2019.679393,95
2012.827666,98
2005.983952,100